order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2022-08-04,2022,3,8,August,Asia Pacific,Country_1,Clothing,Shirts,Consumer,9,439.51,3955.57,2602.07,1353.5,0.3422
2023-10-01,2023,4,10,October,Europe,Country_2,Electronics,Tablets,Corporate,6,124.67,748.0,509.2,238.8,0.3192
2024-05-21,2024,2,5,May,Europe,Country_2,Furniture,Chairs,Corporate,2,271.99,543.99,281.88,262.11,0.4818
2023-06-26,2023,2,6,June,Asia Pacific,Country_3,Office Supplies,Paper,Home Office,9,419.2,3772.8,2159.19,1613.62,0.4277
2022-08-04,2022,3,8,August,Asia Pacific,Country_9,Electronics,Smartphones,Consumer,8,325.88,2607.03,1482.67,1124.36,0.4313
2023-08-09,2023,3,8,August,North America,Country_5,Furniture,Tables,Consumer,7,444.7,3112.93,2231.23,881.7,0.2832
2023-07-19,2023,3,7,July,Asia Pacific,Country_7,Clothing,Pants,Home Office,7,83.04,581.25,349.06,232.2,0.3995
2022-05-04,2022,2,5,May,Latin America,Country_8,Furniture,Tables,Corporate,3,220.51,661.54,347.44,314.1,0.4748
2022-02-07,2022,1,2,February,Latin America,Country_8,Clothing,Shoes,Consumer,8,207.57,1660.54,1057.78,602.75,0.363
2023-10-17,2023,4,10,October,Asia Pacific,Country_1,Clothing,Pants,Corporate,1,371.55,371.55,205.43,166.12,0.4471
2024-02-15,2024,1,2,February,Europe,Country_7,Electronics,Smartphones,Consumer,5,288.35,1441.74,999.73,442.01,0.3066
2024-10-08,2024,4,10,October,Europe,Country_1,Office Supplies,Pens,Home Office,3,417.97,1253.91,1003.01,250.9,0.2001
2024-08-17,2024,3,8,August,North America,Country_5,Office Supplies,Pens,Consumer,8,100.95,807.58,589.05,218.54,0.2706
2022-04-12,2022,2,4,April,North America,Country_8,Office Supplies,Binders,Corporate,3,334.7,1004.1,658.14,345.97,0.3446
2022-01-19,2022,1,1,January,Europe,Country_2,Furniture,Beds,Corporate,1,313.33,313.33,166.65,146.68,0.4681
2023-01-27,2023,1,1,January,Asia Pacific,Country_4,Clothing,Pants,Corporate,5,58.22,291.09,167.26,123.83,0.4254
2024-02-12,2024,1,2,February,North America,Country_8,Furniture,Tables,Home Office,7,98.57,690.01,527.72,162.3,0.2352
2022-06-17,2022,2,6,June,Latin America,Country_1,Electronics,Tablets,Corporate,5,334.39,1671.93,1205.44,466.49,0.279
2023-04-05,2023,2,4,April,North America,Country_1,Clothing,Shoes,Corporate,3,475.04,1425.12,752.4,672.71,0.472
2023-03-19,2023,1,3,March,Latin America,Country_2,Electronics,Tablets,Consumer,2,298.67,597.34,457.12,140.22,0.2347
2024-01-23,2024,1,1,January,Europe,Country_7,Furniture,Tables,Home Office,9,98.05,882.44,690.28,192.15,0.2178
2022-06-01,2022,2,6,June,Europe,Country_9,Electronics,Laptops,Corporate,9,174.27,1568.44,937.99,630.45,0.402
2022-08-18,2022,3,8,August,Asia Pacific,Country_3,Furniture,Chairs,Home Office,6,146.46,878.78,453.78,425.0,0.4836
2022-06-09,2022,2,6,June,Asia Pacific,Country_8,Office Supplies,Pens,Consumer,5,218.44,1092.18,673.17,419.0,0.3836
2023-11-28,2023,4,11,November,Europe,Country_7,Furniture,Tables,Home Office,3,304.44,913.31,686.58,226.72,0.2482
2024-10-06,2024,4,10,October,North America,Country_5,Clothing,Shoes,Consumer,8,139.99,1119.93,729.21,390.72,0.3489
2023-11-09,2023,4,11,November,North America,Country_2,Office Supplies,Binders,Corporate,5,18.06,90.32,56.25,34.07,0.3772
2022-12-30,2022,4,12,December,Europe,Country_9,Electronics,Laptops,Consumer,7,398.41,2788.9,1615.11,1173.79,0.4209
2022-02-05,2022,1,2,February,Latin America,Country_9,Clothing,Shoes,Corporate,6,211.02,1266.12,1007.06,259.07,0.2046
2024-05-04,2024,2,5,May,Asia Pacific,Country_2,Electronics,Tablets,Corporate,8,140.51,1124.11,864.7,259.41,0.2308
2023-12-26,2023,4,12,December,Latin America,Country_9,Furniture,Tables,Home Office,3,376.83,1130.48,796.6,333.89,0.2954
2023-10-18,2023,4,10,October,Europe,Country_3,Clothing,Shirts,Corporate,5,347.95,1739.73,1169.27,570.46,0.3279
2024-03-19,2024,1,3,March,Latin America,Country_4,Furniture,Chairs,Consumer,5,370.0,1850.02,1173.04,676.98,0.3659
2023-09-28,2023,3,9,September,Asia Pacific,Country_8,Electronics,Laptops,Consumer,4,439.53,1758.13,1095.39,662.74,0.377
2024-11-23,2024,4,11,November,Europe,Country_6,Office Supplies,Binders,Corporate,5,86.33,431.67,312.1,119.58,0.277
2024-03-21,2024,1,3,March,Europe,Country_9,Office Supplies,Paper,Home Office,5,187.01,935.05,694.31,240.75,0.2575
2024-06-12,2024,2,6,June,North America,Country_8,Electronics,Smartphones,Consumer,5,307.32,1536.6,972.66,563.94,0.367
2022-05-04,2022,2,5,May,North America,Country_9,Electronics,Laptops,Consumer,1,18.66,18.66,12.21,6.45,0.3457
2024-12-23,2024,4,12,December,Latin America,Country_8,Office Supplies,Binders,Consumer,2,271.7,543.4,299.08,244.31,0.4496
2023-10-05,2023,4,10,October,Europe,Country_5,Electronics,Smartphones,Consumer,2,485.87,971.74,676.3,295.44,0.304
2024-01-10,2024,1,1,January,North America,Country_7,Electronics,Tablets,Consumer,1,156.38,156.38,89.23,67.15,0.4294
2022-12-05,2022,4,12,December,Latin America,Country_8,Electronics,Smartphones,Home Office,8,195.53,1564.27,1036.24,528.03,0.3376
2022-06-28,2022,2,6,June,North America,Country_4,Furniture,Tables,Consumer,1,432.98,432.98,287.19,145.79,0.3367
2022-10-21,2022,4,10,October,North America,Country_8,Electronics,Tablets,Home Office,8,138.23,1105.82,768.41,337.41,0.3051
2024-11-16,2024,4,11,November,Asia Pacific,Country_3,Clothing,Shoes,Home Office,8,258.73,2069.84,1544.9,524.95,0.2536
2024-08-17,2024,3,8,August,Asia Pacific,Country_7,Furniture,Chairs,Home Office,6,458.11,2748.64,1973.79,774.85,0.2819
2023-08-10,2023,3,8,August,Asia Pacific,Country_5,Furniture,Chairs,Corporate,9,209.14,1882.22,1323.95,558.28,0.2966
2023-04-05,2023,2,4,April,North America,Country_6,Electronics,Smartphones,Home Office,4,332.08,1328.3,800.52,527.79,0.3973
2023-05-28,2023,2,5,May,Asia Pacific,Country_2,Furniture,Tables,Corporate,6,484.64,2907.86,2281.55,626.31,0.2154
2024-05-09,2024,2,5,May,North America,Country_9,Furniture,Tables,Consumer,8,293.98,2351.82,1532.14,819.68,0.3485
2022-11-11,2022,4,11,November,Latin America,Country_2,Furniture,Beds,Home Office,6,190.46,1142.75,622.67,520.07,0.4551
2024-08-26,2024,3,8,August,Europe,Country_5,Furniture,Tables,Consumer,1,253.04,253.04,155.75,97.3,0.3845
2023-07-01,2023,3,7,July,Asia Pacific,Country_3,Furniture,Chairs,Consumer,9,188.72,1698.47,1161.33,537.14,0.3162
2023-09-15,2023,3,9,September,Asia Pacific,Country_2,Furniture,Beds,Corporate,5,392.53,1962.64,1158.87,803.76,0.4095
2022-07-21,2022,3,7,July,North America,Country_3,Electronics,Laptops,Corporate,4,349.27,1397.07,768.97,628.1,0.4496
2024-10-03,2024,4,10,October,Latin America,Country_9,Clothing,Shoes,Consumer,8,346.34,2770.75,1739.26,1031.49,0.3723
2023-10-02,2023,4,10,October,Latin America,Country_2,Office Supplies,Pens,Consumer,6,250.19,1501.12,1000.46,500.66,0.3335
2022-07-16,2022,3,7,July,Latin America,Country_4,Furniture,Tables,Home Office,3,109.12,327.36,163.81,163.54,0.4996
2023-10-24,2023,4,10,October,North America,Country_9,Office Supplies,Paper,Home Office,3,374.3,1122.91,759.4,363.51,0.3237
2022-03-25,2022,1,3,March,Europe,Country_2,Clothing,Shirts,Corporate,8,114.31,914.46,683.72,230.74,0.2523
2024-11-13,2024,4,11,November,Latin America,Country_8,Clothing,Pants,Corporate,3,218.76,656.28,412.01,244.27,0.3722
2022-01-18,2022,1,1,January,North America,Country_4,Furniture,Chairs,Home Office,7,100.72,705.06,508.86,196.19,0.2783
2022-04-12,2022,2,4,April,North America,Country_7,Office Supplies,Pens,Corporate,4,327.95,1311.79,657.94,653.85,0.4984
2023-03-29,2023,1,3,March,Asia Pacific,Country_5,Furniture,Chairs,Home Office,3,434.38,1303.13,933.98,369.15,0.2833
2024-10-17,2024,4,10,October,Asia Pacific,Country_1,Electronics,Smartphones,Consumer,3,253.13,759.38,599.77,159.61,0.2102
2022-07-26,2022,3,7,July,North America,Country_6,Office Supplies,Paper,Consumer,1,262.35,262.35,173.65,88.7,0.3381
2024-10-09,2024,4,10,October,Europe,Country_4,Office Supplies,Paper,Home Office,7,127.98,895.83,552.87,342.96,0.3828
2023-03-26,2023,1,3,March,Asia Pacific,Country_8,Clothing,Pants,Corporate,3,394.61,1183.83,827.09,356.74,0.3013
2022-06-06,2022,2,6,June,Asia Pacific,Country_8,Office Supplies,Paper,Corporate,5,455.54,2277.7,1362.87,914.83,0.4016
2022-01-19,2022,1,1,January,Europe,Country_2,Clothing,Shirts,Home Office,3,20.98,62.95,43.48,19.47,0.3093
2024-01-04,2024,1,1,January,Asia Pacific,Country_5,Furniture,Chairs,Consumer,4,186.26,745.04,537.57,207.47,0.2785
2022-09-06,2022,3,9,September,Europe,Country_8,Clothing,Shirts,Consumer,6,328.38,1970.3,1221.96,748.33,0.3798
2024-10-22,2024,4,10,October,Latin America,Country_5,Furniture,Beds,Home Office,6,418.24,2509.42,1814.51,694.91,0.2769
2024-04-17,2024,2,4,April,North America,Country_5,Electronics,Tablets,Corporate,1,359.33,359.33,199.5,159.83,0.4448
2023-02-24,2023,1,2,February,Europe,Country_5,Electronics,Laptops,Home Office,1,450.04,450.04,326.81,123.22,0.2738
2023-11-01,2023,4,11,November,Europe,Country_9,Clothing,Shirts,Corporate,7,306.89,2148.2,1584.4,563.8,0.2625
2022-09-14,2022,3,9,September,North America,Country_8,Electronics,Tablets,Consumer,2,242.9,485.81,388.33,97.48,0.2007
2024-02-02,2024,1,2,February,Asia Pacific,Country_7,Clothing,Pants,Home Office,4,62.77,251.07,162.86,88.21,0.3513
2024-06-29,2024,2,6,June,Latin America,Country_1,Furniture,Beds,Home Office,9,233.63,2102.69,1356.67,746.02,0.3548
2023-11-06,2023,4,11,November,Asia Pacific,Country_9,Electronics,Tablets,Consumer,7,443.73,3106.12,1920.9,1185.22,0.3816
2023-06-15,2023,2,6,June,Europe,Country_8,Electronics,Laptops,Home Office,6,467.59,2805.53,2004.95,800.58,0.2854
2022-03-26,2022,1,3,March,Europe,Country_7,Clothing,Pants,Home Office,1,465.89,465.89,356.15,109.73,0.2355
2022-11-18,2022,4,11,November,Latin America,Country_7,Office Supplies,Binders,Consumer,4,368.76,1475.05,1110.92,364.13,0.2469
2023-02-28,2023,1,2,February,Europe,Country_2,Office Supplies,Paper,Home Office,6,131.36,788.16,499.72,288.44,0.366
2023-10-20,2023,4,10,October,Latin America,Country_2,Furniture,Tables,Consumer,7,64.46,451.19,299.94,151.25,0.3352
2024-10-11,2024,4,10,October,Asia Pacific,Country_6,Furniture,Tables,Consumer,5,284.86,1424.3,742.51,681.78,0.4787
2023-11-11,2023,4,11,November,Latin America,Country_2,Office Supplies,Paper,Home Office,7,205.72,1440.06,962.36,477.7,0.3317
2023-07-15,2023,3,7,July,North America,Country_3,Clothing,Shirts,Home Office,7,405.12,2835.82,1553.94,1281.88,0.452
2023-01-09,2023,1,1,January,North America,Country_9,Electronics,Tablets,Home Office,5,296.4,1482.01,898.12,583.89,0.394
2024-12-28,2024,4,12,December,Latin America,Country_7,Clothing,Shoes,Corporate,3,124.7,374.11,189.41,184.7,0.4937
2024-03-10,2024,1,3,March,Latin America,Country_3,Furniture,Tables,Corporate,7,325.88,2281.17,1582.83,698.33,0.3061
2024-01-20,2024,1,1,January,North America,Country_9,Clothing,Shirts,Home Office,6,125.94,755.66,506.34,249.33,0.3299
2024-07-18,2024,3,7,July,North America,Country_5,Clothing,Shoes,Consumer,4,85.12,340.48,196.72,143.75,0.4222
2022-12-27,2022,4,12,December,Asia Pacific,Country_7,Electronics,Tablets,Consumer,8,459.04,3672.29,2932.21,740.09,0.2015
2023-04-22,2023,2,4,April,Asia Pacific,Country_9,Office Supplies,Paper,Consumer,6,485.01,2910.08,1682.56,1227.52,0.4218
2024-06-06,2024,2,6,June,Latin America,Country_2,Office Supplies,Paper,Consumer,7,486.19,3403.36,2523.88,879.48,0.2584
2022-08-10,2022,3,8,August,North America,Country_8,Electronics,Laptops,Consumer,8,250.17,2001.34,1175.39,825.95,0.4127
2022-06-11,2022,2,6,June,Europe,Country_3,Furniture,Chairs,Corporate,2,86.07,172.13,132.88,39.25,0.228
2024-12-18,2024,4,12,December,Europe,Country_1,Furniture,Beds,Corporate,5,360.97,1804.85,929.76,875.09,0.4849
2022-01-22,2022,1,1,January,Latin America,Country_2,Office Supplies,Binders,Home Office,1,351.35,351.35,214.84,136.51,0.3885
2023-05-25,2023,2,5,May,Asia Pacific,Country_7,Clothing,Shoes,Home Office,8,219.17,1753.37,1059.73,693.64,0.3956
2022-09-08,2022,3,9,September,Asia Pacific,Country_3,Clothing,Shirts,Corporate,7,34.62,242.35,132.48,109.86,0.4533
2023-10-14,2023,4,10,October,North America,Country_4,Electronics,Smartphones,Corporate,7,475.86,3331.01,1939.99,1391.03,0.4176
2023-06-09,2023,2,6,June,Asia Pacific,Country_4,Furniture,Beds,Consumer,1,413.41,413.41,308.58,104.83,0.2536
2023-01-04,2023,1,1,January,Latin America,Country_6,Clothing,Shoes,Consumer,9,16.95,152.57,83.04,69.54,0.4558
2022-01-24,2022,1,1,January,Europe,Country_5,Clothing,Shoes,Home Office,8,345.91,2767.26,1458.78,1308.47,0.4728
2024-07-31,2024,3,7,July,Europe,Country_6,Furniture,Tables,Corporate,9,118.26,1064.34,752.95,311.39,0.2926
2022-09-22,2022,3,9,September,Asia Pacific,Country_3,Electronics,Smartphones,Consumer,1,159.31,159.31,119.56,39.75,0.2495
2023-09-03,2023,3,9,September,Latin America,Country_2,Furniture,Beds,Home Office,8,160.68,1285.42,790.64,494.78,0.3849
2024-11-13,2024,4,11,November,North America,Country_5,Electronics,Laptops,Home Office,8,123.71,989.66,495.77,493.88,0.499
2023-01-06,2023,1,1,January,North America,Country_4,Electronics,Laptops,Consumer,8,70.39,563.16,290.46,272.69,0.4842
2023-12-19,2023,4,12,December,North America,Country_2,Furniture,Tables,Home Office,4,366.12,1464.47,834.78,629.69,0.43
2022-03-13,2022,1,3,March,North America,Country_8,Electronics,Tablets,Consumer,5,311.04,1555.22,847.76,707.47,0.4549
2022-11-17,2022,4,11,November,Asia Pacific,Country_4,Electronics,Tablets,Corporate,5,262.51,1312.55,685.32,627.23,0.4779
2022-02-03,2022,1,2,February,Europe,Country_1,Furniture,Tables,Home Office,8,320.42,2563.38,1965.09,598.29,0.2334
2022-11-18,2022,4,11,November,Europe,Country_3,Clothing,Pants,Consumer,4,115.83,463.32,360.78,102.54,0.2213
2022-03-17,2022,1,3,March,Europe,Country_5,Furniture,Tables,Corporate,6,210.02,1260.12,987.84,272.28,0.2161
2023-12-27,2023,4,12,December,Latin America,Country_9,Office Supplies,Binders,Corporate,5,381.26,1906.32,1206.63,699.69,0.367
2023-07-21,2023,3,7,July,Latin America,Country_7,Clothing,Shirts,Corporate,2,445.02,890.04,531.86,358.18,0.4024
2024-01-22,2024,1,1,January,Europe,Country_4,Clothing,Shirts,Home Office,4,273.66,1094.65,603.02,491.64,0.4491
2022-04-28,2022,2,4,April,North America,Country_9,Furniture,Beds,Consumer,8,285.66,2285.27,1260.61,1024.65,0.4484
2022-02-21,2022,1,2,February,Latin America,Country_8,Office Supplies,Pens,Consumer,6,431.61,2589.65,1658.59,931.06,0.3595
2024-08-08,2024,3,8,August,North America,Country_1,Office Supplies,Paper,Corporate,1,335.87,335.87,195.69,140.18,0.4174
2023-09-14,2023,3,9,September,Asia Pacific,Country_2,Furniture,Beds,Home Office,6,228.76,1372.57,997.47,375.1,0.2733
2022-04-02,2022,2,4,April,Europe,Country_3,Office Supplies,Paper,Home Office,6,159.71,958.24,607.79,350.46,0.3657
2023-01-14,2023,1,1,January,Asia Pacific,Country_5,Electronics,Tablets,Home Office,6,276.77,1660.64,962.63,698.01,0.4203
2024-05-26,2024,2,5,May,North America,Country_4,Electronics,Laptops,Consumer,6,18.9,113.37,77.81,35.56,0.3137
2022-08-24,2022,3,8,August,Latin America,Country_5,Office Supplies,Pens,Consumer,6,94.47,566.83,396.69,170.13,0.3002
2022-09-03,2022,3,9,September,North America,Country_4,Office Supplies,Binders,Corporate,7,78.99,552.96,316.71,236.25,0.4272
2024-06-27,2024,2,6,June,Asia Pacific,Country_5,Furniture,Beds,Consumer,1,14.7,14.7,11.45,3.26,0.2214
2023-11-25,2023,4,11,November,North America,Country_5,Clothing,Shoes,Home Office,9,419.64,3776.75,2624.16,1152.59,0.3052
2022-09-01,2022,3,9,September,North America,Country_5,Electronics,Tablets,Home Office,5,396.28,1981.42,1575.6,405.82,0.2048
2023-10-06,2023,4,10,October,Latin America,Country_2,Clothing,Shoes,Consumer,3,48.03,144.1,87.59,56.51,0.3921
2024-02-17,2024,1,2,February,Europe,Country_4,Furniture,Beds,Home Office,4,421.6,1686.39,984.02,702.36,0.4165
2023-07-25,2023,3,7,July,Latin America,Country_3,Clothing,Pants,Home Office,7,99.26,694.84,392.58,302.26,0.435
2022-02-27,2022,1,2,February,Asia Pacific,Country_2,Electronics,Tablets,Corporate,4,80.26,321.06,199.01,122.05,0.3801
2024-10-10,2024,4,10,October,Latin America,Country_3,Electronics,Smartphones,Corporate,2,87.51,175.02,111.39,63.63,0.3636
2022-08-26,2022,3,8,August,Latin America,Country_7,Furniture,Beds,Corporate,5,303.38,1516.91,1059.6,457.31,0.3015
2022-12-30,2022,4,12,December,North America,Country_3,Electronics,Tablets,Corporate,7,127.44,892.11,623.8,268.31,0.3008
2022-05-09,2022,2,5,May,Asia Pacific,Country_1,Office Supplies,Pens,Corporate,2,106.62,213.23,123.92,89.32,0.4189
2023-06-05,2023,2,6,June,Latin America,Country_9,Office Supplies,Binders,Consumer,1,389.27,389.27,236.09,153.18,0.3935
2022-09-26,2022,3,9,September,Latin America,Country_9,Office Supplies,Pens,Home Office,8,398.43,3187.46,1784.62,1402.84,0.4401
2023-01-12,2023,1,1,January,Asia Pacific,Country_9,Office Supplies,Pens,Consumer,2,96.26,192.53,107.4,85.13,0.4422
2022-09-17,2022,3,9,September,Asia Pacific,Country_3,Furniture,Chairs,Home Office,2,49.14,98.28,51.31,46.97,0.4779
2022-08-09,2022,3,8,August,North America,Country_9,Furniture,Chairs,Consumer,7,412.35,2886.48,1654.27,1232.21,0.4269
2024-11-10,2024,4,11,November,North America,Country_3,Clothing,Pants,Home Office,8,238.26,1906.07,1165.81,740.26,0.3884
2023-11-04,2023,4,11,November,North America,Country_1,Furniture,Chairs,Home Office,7,187.0,1309.03,1019.86,289.17,0.2209
2024-04-25,2024,2,4,April,Asia Pacific,Country_1,Clothing,Shoes,Corporate,3,393.04,1179.11,786.93,392.18,0.3326
2023-10-02,2023,4,10,October,Latin America,Country_4,Clothing,Shirts,Consumer,7,86.59,606.12,375.0,231.12,0.3813
2023-10-03,2023,4,10,October,Latin America,Country_2,Electronics,Laptops,Home Office,1,13.39,13.39,7.95,5.44,0.4061
2023-02-16,2023,1,2,February,North America,Country_9,Electronics,Laptops,Home Office,5,374.13,1870.64,1106.95,763.69,0.4082
2022-12-05,2022,4,12,December,North America,Country_8,Electronics,Laptops,Corporate,7,469.86,3289.05,2618.75,670.3,0.2038
2023-05-15,2023,2,5,May,North America,Country_9,Office Supplies,Binders,Consumer,9,277.58,2498.2,1755.3,742.9,0.2974
2023-03-12,2023,1,3,March,North America,Country_5,Clothing,Shoes,Home Office,5,377.03,1885.13,1108.2,776.93,0.4121
2024-10-11,2024,4,10,October,North America,Country_5,Furniture,Tables,Corporate,3,485.56,1456.69,1096.82,359.86,0.247
2023-05-06,2023,2,5,May,Latin America,Country_2,Electronics,Tablets,Corporate,3,422.74,1268.21,981.61,286.6,0.226
2024-11-15,2024,4,11,November,North America,Country_2,Electronics,Tablets,Corporate,8,485.83,3886.64,2153.08,1733.56,0.446
2023-07-12,2023,3,7,July,Latin America,Country_4,Electronics,Smartphones,Home Office,7,201.93,1413.52,824.7,588.82,0.4166
2023-03-12,2023,1,3,March,Europe,Country_5,Office Supplies,Paper,Corporate,7,390.02,2730.15,1505.68,1224.47,0.4485
2023-06-05,2023,2,6,June,Europe,Country_1,Office Supplies,Binders,Corporate,3,27.6,82.79,59.3,23.49,0.2837
2024-05-22,2024,2,5,May,Latin America,Country_4,Electronics,Laptops,Home Office,3,236.85,710.55,519.49,191.07,0.2689
2022-02-28,2022,1,2,February,North America,Country_5,Furniture,Chairs,Consumer,7,469.47,3286.27,2188.0,1098.27,0.3342
2022-07-05,2022,3,7,July,Europe,Country_6,Office Supplies,Pens,Corporate,1,332.14,332.14,168.09,164.05,0.4939
2022-06-12,2022,2,6,June,Europe,Country_5,Clothing,Pants,Home Office,3,384.53,1153.59,745.78,407.81,0.3535
2024-08-01,2024,3,8,August,North America,Country_8,Electronics,Laptops,Corporate,2,321.62,643.25,360.27,282.97,0.4399
2024-04-07,2024,2,4,April,North America,Country_9,Clothing,Shoes,Corporate,9,492.08,4428.7,2892.45,1536.25,0.3469
2023-05-12,2023,2,5,May,Asia Pacific,Country_8,Electronics,Laptops,Consumer,7,267.15,1870.03,1368.64,501.39,0.2681
2023-07-27,2023,3,7,July,Latin America,Country_6,Clothing,Shoes,Consumer,2,201.93,403.85,293.59,110.27,0.273
2023-09-24,2023,3,9,September,North America,Country_2,Electronics,Laptops,Home Office,2,327.97,655.93,356.58,299.36,0.4564
2024-11-15,2024,4,11,November,Latin America,Country_7,Office Supplies,Paper,Home Office,3,221.09,663.26,498.94,164.32,0.2477
2022-10-03,2022,4,10,October,North America,Country_6,Electronics,Tablets,Home Office,5,485.99,2429.94,1400.36,1029.58,0.4237
2024-03-15,2024,1,3,March,Asia Pacific,Country_3,Furniture,Chairs,Home Office,8,297.21,2377.65,1440.21,937.43,0.3943
2024-02-13,2024,1,2,February,Latin America,Country_9,Furniture,Tables,Corporate,4,218.53,874.12,490.57,383.55,0.4388
2023-08-04,2023,3,8,August,Europe,Country_5,Clothing,Pants,Corporate,8,499.85,3998.77,3065.34,933.43,0.2334
2024-05-25,2024,2,5,May,Latin America,Country_9,Electronics,Tablets,Home Office,2,486.01,972.02,546.74,425.28,0.4375
2023-10-27,2023,4,10,October,Latin America,Country_5,Clothing,Pants,Consumer,1,320.35,320.35,221.73,98.62,0.3079
2024-06-04,2024,2,6,June,Europe,Country_3,Electronics,Smartphones,Home Office,3,490.63,1471.9,1107.38,364.52,0.2477
2023-04-07,2023,2,4,April,Latin America,Country_8,Electronics,Tablets,Corporate,6,398.39,2390.33,1544.87,845.47,0.3537
